date,steps,resting_hr
2023-01-18,105,NA
2023-01-17,5099,58
2023-01-16,7161,57
2023-01-15,5281,57
2023-01-14,7645,57
2023-01-13,5875,58
2023-01-12,6366,58
2023-01-11,6336,58
2023-01-10,6099,NA
2023-01-09,8664,57
2023-01-08,12723,57
2023-01-07,2422,58
2023-01-06,5779,58
2023-01-05,6601,58
2023-01-04,6158,60
2023-01-03,4086,60
2023-01-02,2831,61
2023-01-01,173,NA
2022-12-31,501,NA
2022-12-30,5781,NA
2022-12-29,7720,NA
2022-12-28,4436,NA
2022-12-27,3681,NA
2022-12-26,3651,NA
2022-12-25,3176,NA
2022-12-24,1609,NA
2022-12-23,4385,NA
2022-12-22,1679,NA
2022-12-21,6833,NA
2022-12-20,7232,NA
2022-12-19,8266,NA
2022-12-18,3665,NA
2022-12-17,3503,NA
2022-12-16,7411,NA
2022-12-15,6564,NA
2022-12-14,6110,NA
2022-12-13,10208,NA
2022-12-12,8771,60
2022-12-11,8094,60
2022-12-10,8771,61
2022-12-09,5982,61
2022-12-08,6211,62
2022-12-07,4813,62
2022-12-06,5097,62
2022-12-05,11647,62
2022-12-04,8042,63
2022-12-03,8983,63
2022-12-02,5940,63
2022-12-01,10703,63
2022-11-30,5108,62
2022-11-29,10651,62
2022-11-28,7445,62
2022-11-27,11894,63
2022-11-26,7385,62
2022-11-25,3583,NA
2022-11-24,7469,NA
2022-11-23,7635,NA
2022-11-22,10726,NA
2022-11-21,9313,NA
2022-11-20,4102,NA
2022-11-19,4316,NA
